source,target,significance,correlation
Admin,Admin,0.1962044011224339,
Admin,Extra,0.0018830305715551617,
Admin,Hazi,0.011150494757052135,
Admin,Orai,0.017464185496972384,
Admin,Szamonkeres,0.006350612907989957,
Extra,Admin,0.00391374981538916,
Extra,Extra,0.0929700191995274,
Extra,Hazi,0.004356815832225669,
Extra,Orai,0.021931767833407178,
Extra,Szamonkeres,0.0017722640673460345,
Hazi,Admin,0.011815093782306897,
Hazi,Extra,0.003987594151528578,
Hazi,Hazi,0.17309112391079604,
Hazi,Orai,0.00974745237040319,
Hazi,Szamonkeres,0.0009968985378821444,
Orai,Admin,0.015101166740511002,
Orai,Extra,0.025513218136168955,
Orai,Hazi,0.009895141042682026,
Orai,Orai,0.16053758676709495,
Orai,Szamonkeres,0.004098360655737705,
Szamonkeres,Admin,0.007605966622360065,
Szamonkeres,Extra,0.0006276768571850539,
Szamonkeres,Hazi,0.0015507310589277803,
Szamonkeres,Orai,0.003322995126273815,
Szamonkeres,Szamonkeres,0.2141116526362428,
